time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-07-21T19:30:13.000Z,62.9319,-150.8063,99.6,2.4,ml,,,,0.39,ak,ak11333649,2014-07-21T20:03:32.886Z,"76km NNW of Talkeetna, Alaska",earthquake
2014-07-21T19:29:43.750Z,35.9990005,-120.5595016,1.8,0.86,md,9,92,0.02128,0.06,nc,nc72261731,2014-07-21T19:31:21.290Z,"23km SW of Coalinga, California",earthquake
2014-07-21T19:27:21.010Z,38.7695007,-122.7285004,1.34,2.14,md,33,34,0.009572,0.05,nc,nc72261721,2014-07-21T23:36:07.360Z,"2km ESE of The Geysers, California",earthquake
2014-07-21T19:23:01.040Z,38.8018341,-122.7330017,0.92,0.64,md,9,70,0.01611,0.02,nc,nc72261716,2014-07-21T19:24:36.240Z,"2km SSW of Cobb, California",earthquake
2014-07-21T19:21:38.900Z,38.7997,-122.7338,1.6,0.6,Md,8,86.4,0.01796631,0.02,nc,nc72261711,2014-07-21T19:23:11.226Z,"2km SSW of Cobb, California",earthquake
2014-07-21T19:19:28.860Z,38.7985001,-122.7338333,1.56,1.26,md,19,52,0.01496,0.04,nc,nc72261706,2014-07-21T22:25:04.625Z,"2km SSW of Cobb, California",earthquake
2014-07-21T19:17:19.620Z,36.2626648,-120.3475037,7.17,2.34,md,40,147,0.07518,0.11,nc,nc72261701,2014-07-22T00:54:18.450Z,"13km N of Coalinga, California",earthquake
2014-07-21T19:14:03.300Z,38.8212,-122.7777,2.8,0.5,Md,8,104.4,0.00898315,0.03,nc,nc72261696,2014-07-21T20:07:04.511Z,"4km W of Cobb, California",earthquake
2014-07-21T19:10:33.450Z,38.8079987,-122.8121643,2.45,1.45,md,26,118,0.01317,0.03,nc,nc72261691,2014-07-22T00:00:24.966Z,"5km NW of The Geysers, California",earthquake
2014-07-21T19:08:17.010Z,33.8738333,-116.1986667,10.77,0.74,ml,18,85,0.07917,0.13,ci,ci37249128,2014-07-21T19:24:41.890Z,"14km E of Sky Valley, California",earthquake
2014-07-21T18:58:48.200Z,38.808,-122.8118,3.6,0.7,Md,9,115.2,0.00898315,0.02,nc,nc72261681,2014-07-21T19:36:06.102Z,"5km NW of The Geysers, California",earthquake
2014-07-21T18:50:15.900Z,43.6657,-121.4503,0,2.6,Ml,,280.8,0.07186522,0.15,uw,uw60823807,2014-07-21T19:06:13.257Z,"4km E of La Pine, Oregon",quarry
2014-07-21T18:44:19.800Z,38.7868,-122.7488,1,1,Md,12,72,0.00898315,0.05,nc,nc72261676,2014-07-21T19:15:08.717Z,"1km NNE of The Geysers, California",earthquake
2014-07-21T18:25:43.410Z,36.012,-117.5468333,4.14,0.78,ml,6,114,0.0656,0.09,ci,ci37249120,2014-07-21T18:49:41.709Z,"30km NNW of Searles Valley, California",earthquake
2014-07-21T17:51:28.000Z,60.2659,-141.6161,13.6,1,ml,,,,1.19,ak,ak11333634,2014-07-21T18:25:25.475Z,"50km ENE of Cape Yakataga, Alaska",earthquake
2014-07-21T17:48:01.000Z,51.0386,178.505,1.5,2.7,ml,,,,0.44,ak,ak11333627,2014-07-21T18:50:22.120Z,"101km S of Little Sitkin Island, Alaska",earthquake
2014-07-21T17:38:37.580Z,32.9026667,-116.2765,7.39,2.17,ml,41,60,0.02423,0.27,ci,ci37249096,2014-07-21T17:49:11.540Z,"25km ENE of Pine Valley, California",earthquake
2014-07-21T17:35:21.600Z,41.8277,-119.6447,0,2.3,Md,,183.6,0.66475331,0.5,uw,uw60823777,2014-07-21T18:52:50.375Z,"70km SE of Lakeview, Oregon",earthquake
2014-07-21T17:21:25.200Z,18.868,-65.22,45,3.1,Md,9,234,0.56054874,0.15,pr,pr14202002,2014-07-21T18:13:36.246Z,"63km N of Culebra, Puerto Rico",earthquake
2014-07-21T17:17:17.000Z,60.4498,-140.0476,0.2,1.4,ml,,,,0.83,ak,ak11333601,2014-07-21T17:33:04.382Z,"102km N of Yakutat, Alaska",earthquake
2014-07-21T17:09:29.000Z,60.3254,-142.0626,8.7,0.8,ml,,,,0.35,ak,ak11333597,2014-07-21T17:59:20.086Z,"35km NE of Cape Yakataga, Alaska",earthquake
2014-07-21T17:03:14.200Z,39.4423,-111.2287,2.9,2.1,Md,,122.4,0.14373045,0.12,uu,uu60078037,2014-07-21T20:32:06.480Z,"22km ESE of Mount Pleasant, Utah",earthquake
2014-07-21T17:00:59.160Z,39.5437,-119.1808,0.74,1.62,ml,18,140.53,0.23,,nn,nn00452666,2014-07-21T17:03:19.897Z,"9km SE of Fernley, Nevada",earthquake
2014-07-21T17:00:41.020Z,32.8983333,-116.2688333,8.9,1.18,ml,16,113,0.02231,0.28,ci,ci37249088,2014-07-21T17:04:49.720Z,"25km ENE of Pine Valley, California",earthquake
2014-07-21T16:49:00.420Z,-1.4714,-77.6465,178.56,4.1,mb,,160,3.457,0.64,us,usb000rv8d,2014-07-22T00:51:38.410Z,"37km E of Puyo, Ecuador",earthquake
2014-07-21T16:47:12.800Z,39.4452,-111.2188,3,1.2,Md,,118.8,0.1527136,0.14,uu,uu60078032,2014-07-21T20:29:31.451Z,"23km ESE of Mount Pleasant, Utah",earthquake
2014-07-21T16:43:49.960Z,38.822834,-122.7708359,3.45,0.63,md,9,83,0.00766,0.02,nc,nc72261636,2014-07-21T17:22:06.351Z,"4km W of Cobb, California",earthquake
2014-07-21T16:41:51.600Z,41.7562,-119.6223,4.4,1.8,Ml,,226.8,0.53000602,0.52,uw,uw60063008,2014-07-21T19:27:29.188Z,"76km SE of Lakeview, Oregon",earthquake
2014-07-21T16:41:37.800Z,41.6785,-119.6143,3,1.2,Ml,,252,0.55695548,1.63,uw,uw60823732,2014-07-21T19:31:40.618Z,"80km ENE of Alturas, California",earthquake
2014-07-21T16:40:24.970Z,34.5178333,-119.4373333,1.77,1.69,ml,18,74,0.1349,0.11,ci,ci37249080,2014-07-21T18:45:36.210Z,"15km NNE of Carpinteria, California",earthquake
2014-07-21T16:40:05.860Z,38.8428345,-122.8389969,1.62,0.72,md,13,102,0.005048,0.06,nc,nc72261631,2014-07-21T16:55:03.140Z,"10km WNW of Cobb, California",earthquake
2014-07-21T16:13:44.000Z,59.5127,-152.3956,71.1,2.3,ml,,,,0.44,ak,ak11333583,2014-07-21T16:42:28.270Z,"43km SW of Anchor Point, Alaska",earthquake
2014-07-21T15:57:07.000Z,51.0803,179.9921,4.9,2,ml,,,,0.6,ak,ak11333578,2014-07-21T17:08:33.434Z,"66km WSW of Amatignak Island, Alaska",earthquake
2014-07-21T15:41:55.000Z,61.098,-151.768,74.8,1.5,ml,,,,0.96,ak,ak11333575,2014-07-21T16:13:25.297Z,"52km NNW of Nikiski, Alaska",earthquake
2014-07-21T15:25:58.400Z,38.879,-122.81,1.8,0.9,Md,13,198,0,0.03,nc,nc72261621,2014-07-21T15:51:06.103Z,"9km NW of Cobb, California",earthquake
2014-07-21T14:58:16.000Z,60.0483,-141.0954,13.6,1.6,ml,,,,0.97,ak,ak11333504,2014-07-21T15:20:22.346Z,"74km E of Cape Yakataga, Alaska",earthquake
2014-07-21T14:54:41.000Z,-19.8294,-178.4637,616.44,6.9,mww,,15,3.897,0.88,us,usb000ruzk,2014-07-21T22:57:16.259Z,"94km NNE of Ndoi Island, Fiji",earthquake
2014-07-21T14:43:30.000Z,46.2945,-122.2263,6.9,-0.1,Md,,122.4,0.02694946,0.11,uw,uw60823622,2014-07-21T15:22:54.712Z,"29km S of Morton, Washington",earthquake
2014-07-21T14:30:28.400Z,45.7117,-122.5007,16,0.9,Md,,100.8,0.11678099,0.12,uw,uw60062913,2014-07-21T18:03:09.966Z,"3km SSW of Hockinson, Washington",earthquake
2014-07-21T14:25:48.500Z,36.8883,-122.147,4.3,1.8,Md,7,201.6,0.23356197,0.04,nc,nc72261546,2014-07-21T16:46:07.167Z,"14km SW of Santa Cruz, California",earthquake
2014-07-21T14:21:12.500Z,48.243,-121.877,9.3,2.4,Ml,,122.4,0.05389892,0.36,uw,uw60823612,2014-07-21T16:03:47.459Z,"14km ENE of Arlington Heights, Washington",earthquake
2014-07-21T14:10:46.000Z,59.1945,-150.5083,11.5,1.7,ml,,,,0.4,ak,ak11333501,2014-07-21T17:08:38.275Z,"75km SE of Fritz Creek, Alaska",earthquake
2014-07-21T13:49:18.500Z,36.703167,-121.3401642,4.53,2.27,md,48,51,0.006789,0.05,nc,nc72261536,2014-07-21T22:03:17.232Z,"12km S of Ridgemark, California",earthquake
2014-07-21T13:35:45.000Z,60.3877,-146.956,21.6,1.5,ml,,,,1.36,ak,ak11333481,2014-07-21T14:10:20.689Z,"68km WSW of Cordova, Alaska",earthquake
2014-07-21T13:27:35.000Z,63.3461,-151.7943,7.2,1.4,ml,,,,0.8,ak,ak11333478,2014-07-21T13:46:18.020Z,"142km NW of Talkeetna, Alaska",earthquake
2014-07-21T13:21:45.000Z,63.8348,-149.3085,119.6,3.3,ml,,,,0.88,ak,ak11333469,2014-07-21T21:24:25.427Z,"17km W of Healy, Alaska",earthquake
2014-07-21T13:12:34.000Z,61.1438,-146.9971,11.7,1.7,ml,,,,0.42,ak,ak11333466,2014-07-21T13:46:19.491Z,"34km W of Valdez, Alaska",earthquake
2014-07-21T13:10:23.000Z,60.3158,-142.3574,6.6,1,ml,,,,0.33,ak,ak11333465,2014-07-21T16:42:36.298Z,"28km N of Cape Yakataga, Alaska",earthquake
2014-07-21T13:03:03.000Z,61.172,-146.9949,0.1,1.6,ml,,,,0.81,ak,ak11333459,2014-07-21T13:46:22.355Z,"35km W of Valdez, Alaska",earthquake
2014-07-21T13:02:48.540Z,33.3011667,-116.3036667,11.73,1.27,ml,31,58,0.1006,0.25,ci,ci37249064,2014-07-21T13:13:37.390Z,"8km NE of Borrego Springs, California",earthquake
2014-07-21T13:02:12.400Z,19.0674,-66.1275,46,3,Md,5,259.2,0.92975632,0.23,pr,pr14202001,2014-07-21T21:04:47.598Z,"66km N of San Juan, Puerto Rico",earthquake
2014-07-21T12:53:13.000Z,63.4467,-148.2758,29.6,0.8,ml,,,,0.67,ak,ak11333456,2014-07-21T13:18:55.318Z,"34km E of Cantwell, Alaska",earthquake
2014-07-21T12:42:52.000Z,37.6298,-118.8823,8.4,1.6,Md,17,97.2,0.01796631,0.04,nc,nc72261521,2014-07-21T15:47:15.749Z,"7km ESE of Mammoth Lakes, California",earthquake
2014-07-21T12:40:27.630Z,33.6466667,-117.9088333,9.19,1.42,ml,15,170,0.04728,0.25,ci,ci37249056,2014-07-21T12:45:15.540Z,"1km NE of Costa Mesa, California",earthquake
2014-07-21T12:36:41.100Z,48.4083,-118.8035,3.8,1.7,Ml,,126,0.35932611,0.35,uw,uw60823492,2014-07-21T14:41:10.242Z,"27km S of Republic, Washington",earthquake
2014-07-21T12:32:39.129Z,36.6446,-116.033,4.0563,0.21,ml,12,153.14,0.059,0.1009,nn,nn00452648,2014-07-21T20:29:22.094Z,"48km N of Pahrump, Nevada",earthquake
2014-07-21T12:21:26.000Z,67.5951,-160.9347,10,3.3,ml,,,,0.89,ak,ak11333451,2014-07-21T20:24:05.632Z,"86km E of Noatak, Alaska",earthquake
2014-07-21T12:15:29.150Z,37.6301651,-118.8818359,8.38,1.51,md,20,74,0.0172,0.03,nc,nc72261511,2014-07-21T15:22:08.026Z,"6km ESE of Mammoth Lakes, California",earthquake
2014-07-21T12:11:36.000Z,60.3623,-140.1664,0.2,1.5,ml,,,,1.04,ak,ak11333447,2014-07-21T12:31:23.381Z,"94km NNW of Yakutat, Alaska",earthquake
2014-07-21T12:11:10.740Z,37.6293335,-118.8815002,8.12,1.38,md,19,76,0.01729,0.03,nc,nc72261501,2014-07-21T20:37:17.417Z,"8km ESE of Mammoth Lakes, California",earthquake
2014-07-21T11:52:03.931Z,36.4313,-116.9392,11.5231,0.47,ml,14,179.12,0.071,0.1288,nn,nn00452643,2014-07-21T18:27:27.616Z,"55km SSW of Beatty, Nevada",earthquake
2014-07-21T11:51:04.000Z,63.0928,-149.8904,14.4,0.7,ml,,,,0.17,ak,ak11333442,2014-07-21T12:31:18.991Z,"57km SW of Cantwell, Alaska",earthquake
2014-07-21T11:39:52.150Z,38.8376656,-122.8014984,2.65,0.69,md,9,120,0.008743,0.01,nc,nc72261471,2014-07-21T12:35:04.766Z,"7km WNW of Cobb, California",earthquake
2014-07-21T11:30:49.390Z,38.8359985,-122.8024979,2.86,1.57,md,26,55,0.009792,0.02,nc,nc72261466,2014-07-21T14:32:22.545Z,"7km WNW of Cobb, California",earthquake
2014-07-21T11:22:20.000Z,58.2723,-151.457,0.3,2.8,ml,,,,0.57,ak,ak11333437,2014-07-21T19:24:49.103Z,"77km NE of Kodiak, Alaska",earthquake
2014-07-21T11:21:58.810Z,38.8463326,-122.7783356,2.23,1.17,md,8,168,0.004021,0.02,nc,nc72261451,2014-07-21T14:23:06.562Z,"5km WNW of Cobb, California",earthquake
2014-07-21T11:14:45.040Z,32.9023333,-116.2668333,9.41,1.15,ml,22,110,0.01818,0.23,ci,ci37249048,2014-07-21T11:18:42.520Z,"26km ENE of Pine Valley, California",earthquake
2014-07-21T11:13:04.500Z,37.6305008,-118.8831635,8.2,1.08,md,10,94,0.01627,0.02,nc,nc72261441,2014-07-21T13:08:08.404Z,"8km ESE of Mammoth Lakes, California",earthquake
2014-07-21T11:05:10.830Z,33.1425,-116.4941667,10.38,1.18,ml,30,51,0.1063,0.23,ci,ci37249032,2014-07-21T11:15:47.290Z,"12km NE of Julian, California",earthquake
2014-07-21T11:03:57.000Z,60.0753,-147.864,19.1,1.6,ml,,,,0.85,ak,ak11333433,2014-07-21T11:40:14.917Z,"85km E of Bear Creek, Alaska",earthquake
2014-07-21T10:50:32.110Z,37.6403351,-118.8356705,0.02,1.12,md,6,165,0.04154,0.06,nc,nc72261436,2014-07-21T12:46:05.961Z,"12km E of Mammoth Lakes, California",earthquake
2014-07-21T10:49:29.370Z,37.6534996,-118.854332,5.67,1.06,md,10,95,0.02134,0.04,nc,nc72261431,2014-07-21T12:17:07.836Z,"10km E of Mammoth Lakes, California",earthquake
2014-07-21T10:44:58.000Z,61.3516,-147.0186,12.9,3,ml,,,,0.61,ak,ak11333419,2014-07-21T18:47:32.977Z,"43km NW of Valdez, Alaska",earthquake
2014-07-21T10:36:19.000Z,60.0666,-147.0145,9.4,1.9,ml,,,,0.92,ak,ak11333416,2014-07-21T11:16:35.601Z,"80km NNW of Middleton Island, Alaska",earthquake
2014-07-21T10:12:24.000Z,61.2686,-152.4882,0.1,1.8,ml,,,,0.43,ak,ak11333411,2014-07-21T10:53:04.298Z,"88km N of Redoubt Volcano, Alaska",earthquake
2014-07-21T10:11:02.000Z,60.337,-140.2772,0,1.6,ml,,,,0.96,ak,ak11333406,2014-07-21T10:53:03.370Z,"93km NNW of Yakutat, Alaska",earthquake
2014-07-21T10:07:22.410Z,34.2731667,-117.0103333,10.73,0.58,ml,6,95,0.07498,0.15,ci,ci37249024,2014-07-21T10:11:10.790Z,"9km WNW of Big Bear Lake, California",earthquake
2014-07-21T10:00:09.180Z,38.049,-114.4402,8.2986,1.2,ml,7,114.93,0.747,0.2274,nn,nn00452634,2014-07-21T12:46:04.965Z,"13km N of Pioche, Nevada",earthquake
2014-07-21T09:44:38.000Z,50.953,178.8428,53.2,2.7,ml,,,,0.35,ak,ak11333391,2014-07-21T17:47:12.014Z,"113km SSE of Little Sitkin Island, Alaska",earthquake
2014-07-21T09:40:11.020Z,35.668,-118.4651667,10.89,0.74,ml,8,93,0.008901,0.06,ci,ci37249016,2014-07-21T17:23:55.260Z,"4km S of Wofford Heights, California",earthquake
2014-07-21T09:29:49.450Z,32.8705,-116.2241667,5.68,1.43,ml,28,78,0.05098,0.19,ci,ci37249008,2014-07-21T09:40:15.070Z,"29km E of Pine Valley, California",earthquake
2014-07-21T09:16:02.000Z,60.3118,-140.4112,6.8,1.5,ml,,,,0.81,ak,ak11333388,2014-07-21T09:42:31.948Z,"93km NNW of Yakutat, Alaska",earthquake
2014-07-21T09:06:44.880Z,33.6645,-116.7216667,18.52,0.52,ml,16,84,0.05014,0.14,ci,ci37249000,2014-07-21T09:10:43.580Z,"8km S of Idyllwild-Pine Cove, California",earthquake
2014-07-21T09:03:30.000Z,60.3334,-140.2251,10.3,1.6,ml,,,,0.73,ak,ak11333385,2014-07-21T09:22:47.079Z,"91km NNW of Yakutat, Alaska",earthquake
2014-07-21T09:02:32.000Z,56.9485,-154.5842,0.1,2,ml,,,,0.67,ak,ak11333384,2014-07-21T09:22:42.307Z,"75km SSW of Larsen Bay, Alaska",earthquake
2014-07-21T08:59:33.000Z,63.2132,-150.5675,98.4,1.2,ml,,,,0.87,ak,ak11333381,2014-07-21T09:22:49.817Z,"83km WSW of Cantwell, Alaska",earthquake
2014-07-21T08:58:48.090Z,34.2771667,-117.0198333,9.8,0.99,ml,16,86,0.08339,0.22,ci,ci37248992,2014-07-21T09:02:51.520Z,"10km WNW of Big Bear Lake, California",earthquake
2014-07-21T08:52:54.810Z,33.468,-116.5568333,12.11,0.13,ml,12,235,0.04633,0.22,ci,ci37248984,2014-07-21T08:57:15.440Z,"14km SE of Anza, California",earthquake
2014-07-21T08:50:57.000Z,62.8964,-148.7922,4.6,1.1,ml,,,,0.68,ak,ak11333379,2014-07-21T09:22:48.532Z,"55km S of Cantwell, Alaska",earthquake
2014-07-21T08:43:16.800Z,37.1972,-121.644,6,1.8,Md,27,93.6,0.03593261,0.05,nc,nc72261406,2014-07-21T10:50:08.289Z,"7km N of Morgan Hill, California",earthquake
2014-07-21T08:09:31.600Z,37.4518,-118.6355,12.5,1.3,Md,7,93.6,0.08084838,0.02,nc,nc72261401,2014-07-21T10:28:05.947Z,"18km WNW of West Bishop, California",earthquake
2014-07-21T08:07:01.700Z,37.6597,-118.8535,5.2,0.9,Md,7,154.8,0.02694946,0.01,nc,nc72261396,2014-07-21T09:55:07.460Z,"10km E of Mammoth Lakes, California",earthquake
2014-07-21T07:44:08.300Z,44.586,-110.7095,6.8,1.5,Ml,,75.6,0.05389892,0.15,uu,uu60005705,2014-07-21T19:58:41.252Z,"16km NE of Old Faithful Geyser, Wyoming",earthquake
2014-07-21T07:43:47.300Z,44.586,-110.7065,6.9,1.4,Ml,,75.6,0.04491576,0.17,uu,uu60077992,2014-07-21T19:51:31.191Z,"17km NE of Old Faithful Geyser, Wyoming",earthquake
2014-07-21T07:23:32.200Z,38.8238,-122.7657,3,0.4,Md,8,100.8,0.00898315,0.01,nc,nc72261391,2014-07-21T09:28:09.548Z,"3km W of Cobb, California",earthquake
2014-07-21T07:17:20.440Z,36.0423333,-117.764,0.97,0.25,ml,7,104,0.06992,0.07,ci,ci37248976,2014-07-21T17:18:59.823Z,"44km NW of Searles Valley, California",earthquake
2014-07-21T07:15:16.620Z,32.5835,-115.688,1.62,1.55,ml,13,125,0.1789,0.32,ci,ci37248968,2014-07-21T07:18:59.920Z,"9km W of Progreso, Mexico",earthquake
2014-07-21T07:04:31.890Z,33.4128333,-116.378,7.79,0.32,ml,14,155,0.1479,0.2,ci,ci37248960,2014-07-21T07:08:36.540Z,"17km N of Borrego Springs, California",earthquake
2014-07-21T06:57:33.460Z,33.493,-116.444,11.44,0.64,ml,15,251,0.1187,0.09,ci,ci37248952,2014-07-21T17:14:24.770Z,"22km SSW of La Quinta, California",earthquake
